,number,value,datetime_start,datetime_complete,duration,params_bs,params_hidden_do,params_l1_strength,params_l2_strength,params_nn,params_out_do,state
0,0,0.7211323874968738,2024-04-17 11:51:33.337069,2024-04-17 11:55:50.046874,0 days 00:04:16.709805,10,0.0,1.2561216021499993e-09,4.4846550261003237e-07,"[512, 512]",0.0,COMPLETE
1,1,0.7560210597785044,2024-04-17 11:55:50.048089,2024-04-17 12:01:36.118582,0 days 00:05:46.070493,10,0.30000000000000004,2.3527273015400985e-06,1.1254405872152294e-08,"[1024, 1024, 512]",0.0,COMPLETE
2,2,0.7578711729831478,2024-04-17 12:01:36.119865,2024-04-17 12:07:44.078255,0 days 00:06:07.958390,10,0.30000000000000004,3.978984871318573e-07,1.5643425078937453e-07,"[1024, 1024, 512]",0.0,COMPLETE
3,3,0.7442518773640716,2024-04-17 12:07:44.079544,2024-04-17 12:13:53.624881,0 days 00:06:09.545337,10,0.4,2.658215046398023e-05,2.069360098658648e-07,"[1024, 1024, 512]",0.0,COMPLETE
4,4,0.7404371737474573,2024-04-17 12:13:53.626210,2024-04-17 12:22:02.109622,0 days 00:08:08.483412,9,0.5,3.346745856663225e-07,2.1195484969344862e-10,"[512, 512]",0.0,COMPLETE
